 ,2008,2009,2010,2011,2012,2013,2014,2015,
barrack,2.2434073987212214E-6,5.712395585480561E-7,5.324223600950037E-7,2.9972830320994716E-7,2.486739338142389E-7,3.058378637265997E-7,2.647839851328125E-7,1.7010252711118377E-7,
trump,7.94287484412108E-6,4.9176275040223955E-6,3.897331675895427E-6,1.7937586145949148E-5,3.5063024667807683E-6,2.8290002394710474E-6,4.019902319743608E-6,4.665669315049612E-6,
donald,5.517569548206247E-6,4.793444991294557E-6,3.3649093158004235E-6,8.231000326611627E-6,4.3269264483677565E-6,2.6505948189638643E-6,7.871305739857244E-6,3.6450541523825092E-6,
washington,5.153773753819022E-5,3.1616867740507626E-5,2.534330434052218E-5,2.1142373387963196E-5,1.9346832050747784E-5,2.342208306372876E-5,2.07012933831108E-5,1.703455307213426E-5,
pickle,1.3945505451510296E-6,2.4339772494656304E-6,3.982519253510628E-6,4.288420338234629E-6,3.2078937462036816E-6,3.0328921486221136E-6,2.1664144238139208E-6,2.4057357405724564E-6,
